entry_type,path,methods,formal_guard,legacy_authorization,versioned_reexport,dynamic_object,write_method,database_touch,external_touch,demo_or_fixture,capability_off,classification,compatibility_test_count,compatibility_tests
api_route,src/app/api/institution/ai-service-usage/route.ts,GET,false,false,false,false,false,false,false,false,true,capability_off_unwired,3,src/modules/institution/tests/InstitutionAiServiceUsageApiRoute.test.ts|src/modules/institution/tests/InstitutionAiServiceUsageService.test.ts|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/appointments/route.ts,GET|PATCH|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,7,src/modules/institution/tests/CareMutationAccessibility.test.tsx|src/modules/institution/tests/InstitutionBusinessShells.test.tsx|src/modules/institution/tests/TenantBusinessApiRoutes.test.ts|src/modules/institution/tests/TenantBusinessClient.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseMvpE2EAcceptance.test.ts|src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/audit-events/route.ts,GET,true,false,false,false,false,false,false,true,true,formal_guarded,5,src/app/api/institution/audit-events/route.test.ts|src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts|src/modules/institution/tests/InstitutionBusinessShells.test.tsx|src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/CustomerFollowUpFeedbackApiRoute.test.ts
api_route,src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,false,false,false,true,false,false,false,true,true,demo_or_fixture,1,src/modules/institution/tests/CustomerFollowUpOverviewApiRoute.test.ts
api_route,src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,false,false,false,true,false,false,false,true,true,demo_or_fixture,1,src/modules/institution/tests/CustomerFollowUpTimelineApiRoute.test.ts
api_route,src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,false,false,false,true,false,false,false,true,true,demo_or_fixture,1,src/modules/institution/tests/CustomerTimelineApiRoutes.test.ts
api_route,src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,3,src/modules/institution/tests/TreatmentSummaryApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryCreateApiRoute.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts
api_route,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/TrustedReachOutSafetyApiRoute.test.ts
api_route,src/app/api/institution/customers/import/route.ts,POST|PUT,false,false,false,false,true,false,false,false,true,capability_off_unwired,2,src/modules/institution/tests/CustomerImportApiRoute.test.ts|src/modules/institution/tests/InstitutionBusinessShells.test.tsx
api_route,src/app/api/institution/customers/route.ts,GET|PATCH|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,16,src/modules/institution/tests/CareMutationAccessibility.test.tsx|src/modules/institution/tests/CustomerFollowUpFeedbackApiRoute.test.ts|src/modules/institution/tests/CustomerFollowUpOverviewApiRoute.test.ts|src/modules/institution/tests/CustomerFollowUpTimelineApiRoute.test.ts|src/modules/institution/tests/CustomerImportApiRoute.test.ts|src/modules/institution/tests/CustomerTimelineApiRoutes.test.ts|src/modules/institution/tests/InstitutionBusinessShells.test.tsx|src/modules/institution/tests/TenantBusinessApiRoutes.test.ts|src/modules/institution/tests/TenantBusinessClient.test.ts|src/modules/institution/tests/TreatmentSummaryApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryCreateApiRoute.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts|src/modules/institution/tests/TrustedReachOutSafetyApiRoute.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseMvpE2EAcceptance.test.ts|src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/dashboard-stats/route.ts,GET,false,false,false,false,false,false,false,true,false,legacy_or_retired,1,src/modules/institution/tests/DashboardStatsLegacyApiRoute.test.ts
