chain_names,source_path,source_owner,target_path,target_owner,specifier,detection_kinds,source_kind,target_kind,runtime_reachable,source_runtime_boundary,target_runtime_boundary,evidence
shared_types_services,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts,audit,src/app/api/institution/audit-events/route.ts,__src_app__,@/app/api/institution/audit-events/route,static_import_or_export,test,production,no,yes,yes,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts -> @/app/api/institution/audit-events/route
shared_types_services,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts,audit,src/modules/security/server/access-context.ts,security,@/modules/security/server/access-context,test_mock,test,production,no,yes,yes,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts -> @/modules/security/server/access-context
shared_types_services,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts,audit,src/server/db/client.ts,__src_server__,@/server/db/client,test_mock,test,production,no,yes,yes,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts -> @/server/db/client
shared_types_services,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts,audit,src/app/api/open-platform/audit-events/route.ts,__src_app__,@/app/api/open-platform/audit-events/route,static_import_or_export,test,production,no,yes,yes,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts -> @/app/api/open-platform/audit-events/route
shared_types_services,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts,audit,src/modules/security/domain/access-control.ts,security,@/modules/security/domain/access-control,static_import_or_export,test,production,no,yes,no,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts -> @/modules/security/domain/access-control
shared_types_services,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts,audit,src/modules/security/server/access-context.ts,security,@/modules/security/server/access-context,literal_dynamic_or_require|test_mock,test,production,no,yes,yes,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts -> @/modules/security/server/access-context
shared_types_services,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts,audit,src/server/db/client.ts,__src_server__,@/server/db/client,literal_dynamic_or_require|test_mock,test,production,no,yes,yes,src/modules/audit/tests/OpenPlatformAuditEventsApiRoute.test.ts -> @/server/db/client
page_domain|shared_types_services,src/modules/auth/components/ConfiguredLoginPages.tsx,auth,src/modules/marketing/domain/homepageBrandConfig.ts,marketing,@/modules/marketing/domain/homepageBrandConfig,static_import_or_export,production,production,yes,yes,no,src/modules/auth/components/ConfiguredLoginPages.tsx -> @/modules/marketing/domain/homepageBrandConfig
shared_types_services,src/modules/auth/components/LogoutButton.tsx,auth,src/shared/utils/cn.ts,__src_shared__,@/shared/utils/cn,static_import_or_export,production,production,yes,yes,no,src/modules/auth/components/LogoutButton.tsx -> @/shared/utils/cn
shared_types_services,src/modules/auth/components/LuxuryLoginShell.tsx,auth,src/shared/utils/cn.ts,__src_shared__,@/shared/utils/cn,static_import_or_export,production,production,yes,no,no,src/modules/auth/components/LuxuryLoginShell.tsx -> @/shared/utils/cn
