source_path,target_path,specifier,import_kind,scope,source_module,target_module,source_role,target_role,source_owner,target_owner,reverse_dependency,cycle_edge,risk
src/modules/institution/tests/WeComCustomerContactPrecheckDomain.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactPrecheckDomain.test.ts,src/modules/institution/domain/wecom-customer-contact-precheck.ts,@/modules/institution/domain/wecom-customer-contact-precheck,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComCustomerContactPrecheckDomain.test.ts,src/modules/institution/server/wecom-customer-contact-precheck-runtime.ts,@/modules/institution/server/wecom-customer-contact-precheck-runtime,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts,,node:path,runtime,external_package,institution,node:path,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts,src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,@/app/api/institution/wecom-customer-contact-readonly-proof/route,runtime,cross_module_internal,institution,app,test,other,wecom,wecom,no,no,medium
src/modules/institution/tests/WeComCustomerContactReadonlyProofDomain.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofDomain.test.ts,src/modules/institution/domain/wecom-customer-contact-readonly-proof.ts,@/modules/institution/domain/wecom-customer-contact-readonly-proof,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofDomain.test.ts,src/modules/institution/server/wecom-customer-contact-readonly-proof-runtime.ts,@/modules/institution/server/wecom-customer-contact-readonly-proof-runtime,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts,src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,@/app/api/institution/wecom-customer-contact-readonly-proof-mock/route,runtime,cross_module_internal,institution,app,test,other,wecom,wecom,no,no,medium
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockDomain.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockDomain.test.ts,src/modules/institution/domain/wecom-customer-contact-precheck.ts,@/modules/institution/domain/wecom-customer-contact-precheck,type,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockDomain.test.ts,src/modules/institution/domain/wecom-customer-contact-readonly-proof-mock.ts,@/modules/institution/domain/wecom-customer-contact-readonly-proof-mock,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
